,document_n,topic
532,532,2
533,533,2
534,534,2
535,535,0
536,536,0
537,537,0
538,538,1
539,539,0
540,540,1
541,541,2
542,542,0
543,543,0
544,544,0
545,545,1
546,546,0
547,547,2
548,548,2
549,549,0
550,550,0
551,551,2
552,552,1
553,553,2
554,554,1
555,555,0
556,556,2
557,557,2
558,558,2
559,559,0
560,560,1
561,561,0
562,562,0
563,563,0
564,564,1
565,565,1
566,566,1
567,567,0
568,568,1
569,569,1
570,570,1
571,571,0
572,572,2
573,573,0
574,574,0
575,575,2
576,576,1
577,577,1
578,578,0
579,579,0
580,580,1
581,581,0
582,582,0
583,583,2
584,584,0
585,585,1
586,586,1
587,587,1
588,588,0
589,589,2
590,590,2
591,591,1
592,592,0
593,593,0
594,594,2
595,595,0
596,596,2
597,597,2
598,598,2
599,599,1
600,600,2
601,601,0
602,602,2
603,603,1
604,604,1
605,605,1
606,606,1
607,607,1
608,608,1
609,609,0
610,610,1
611,611,2
612,612,2
613,613,0
614,614,0
615,615,0
616,616,2
617,617,2
618,618,0
619,619,1
620,620,1
621,621,1
622,622,1
623,623,0
624,624,0
625,625,1
626,626,1
627,627,1
628,628,1
629,629,1
630,630,0
631,631,0
632,632,1
633,633,2
634,634,2
635,635,0
636,636,1
637,637,0
638,638,1
639,639,1
640,640,1
641,641,1
642,642,1
643,643,2
644,644,2
645,645,2
646,646,1
647,647,2
648,648,1
649,649,0
650,650,0
651,651,1
652,652,0
653,653,0
654,654,0
655,655,0
656,656,0
657,657,1
658,658,0
659,659,0
660,660,1
661,661,2
662,662,1
663,663,1
664,664,1
665,665,0
666,666,1
667,667,0
668,668,0
669,669,0
670,670,1
671,671,2
672,672,1
673,673,0
674,674,2
675,675,0
676,676,0
677,677,2
678,678,0
679,679,1
680,680,0
681,681,1
682,682,1
683,683,0
684,684,0
685,685,0
686,686,2
687,687,2
688,688,2
689,689,0
690,690,0
691,691,1
692,692,0
693,693,2
694,694,1
695,695,1
696,696,0
697,697,2
698,698,2
699,699,0
700,700,0
701,701,1
702,702,0
703,703,0
704,704,2
705,705,0
706,706,0
707,707,2
708,708,2
709,709,2
710,710,1
711,711,1
712,712,2
713,713,2
714,714,2
715,715,0
716,716,0
717,717,2
718,718,0
719,719,0
720,720,2
721,721,0
722,722,0
723,723,2
724,724,1
725,725,0
726,726,0
727,727,2
728,728,0
729,729,0
730,730,1
731,731,2
732,732,0
733,733,0
734,734,0
735,735,2
736,736,0
737,737,0
738,738,0
739,739,2
740,740,2
741,741,1
742,742,0
743,743,0
744,744,0
745,745,0
746,746,1
747,747,2
748,748,0
749,749,0
750,750,0
751,751,2
752,752,1
753,753,0
754,754,0
755,755,0
756,756,0
757,757,0
758,758,0
759,759,2
760,760,1
761,761,0
762,762,0
763,763,0
764,764,0
765,765,1
766,766,1
767,767,0
768,768,2
769,769,0
770,770,2
771,771,2
772,772,0
773,773,0
774,774,2
775,775,2
776,776,1
777,777,1
778,778,2
779,779,0
780,780,0
781,781,2
782,782,2
783,783,0
784,784,2
785,785,0
786,786,1
787,787,1
788,788,2
789,789,2
790,790,0
791,791,1
792,792,1
793,793,1
794,794,1
795,795,1
796,796,0
797,797,0
798,798,0
799,799,1
800,800,0
801,801,1
802,802,0
803,803,0
804,804,0
805,805,1
806,806,0
807,807,0
808,808,0
809,809,1
810,810,0
811,811,0
812,812,1
813,813,0
814,814,1
815,815,2
816,816,0
817,817,2
818,818,2
819,819,0
820,820,1
821,821,0
822,822,2
823,823,0
824,824,0
825,825,1
826,826,2
827,827,0
828,828,0
829,829,0
830,830,0
831,831,0
832,832,2
833,833,2
834,834,2
835,835,0
836,836,0
837,837,0
838,838,1
839,839,1
840,840,1
841,841,2
842,842,1
843,843,1
844,844,0
845,845,1
846,846,1
847,847,0
848,848,2
849,849,0
850,850,0
851,851,0
852,852,0
853,853,1
854,854,0
855,855,0
856,856,1
857,857,0
858,858,1
859,859,2
860,860,0
861,861,1
862,862,1
863,863,2
864,864,0
865,865,0
866,866,1
867,867,1
868,868,0
869,869,0
870,870,0
871,871,0
872,872,0
873,873,1
874,874,0
875,875,0
876,876,2
877,877,1
878,878,1
879,879,2
880,880,0
881,881,1
882,882,0
883,883,1
884,884,0
885,885,0
886,886,0
887,887,2
888,888,1
889,889,1
890,890,0
891,891,2
892,892,1
893,893,0
894,894,0
895,895,1
896,896,2
897,897,1
898,898,1
899,899,1
900,900,2
901,901,1
902,902,2
903,903,2
904,904,2
905,905,2
906,906,2
907,907,1
908,908,2
909,909,0
910,910,1
911,911,1
912,912,0
913,913,1
914,914,0
915,915,2
916,916,2
917,917,1
918,918,2
919,919,0
920,920,1
921,921,1
922,922,1
923,923,0
924,924,1
925,925,1
926,926,1
927,927,0
928,928,0
929,929,2
930,930,0
931,931,0
932,932,0
933,933,1
934,934,1
935,935,0
936,936,0
937,937,1
938,938,1
939,939,0
940,940,0
941,941,2
942,942,2
943,943,1
944,944,0
945,945,0
946,946,2
947,947,2
948,948,0
949,949,0
950,950,1
951,951,0
952,952,2
953,953,2
954,954,0
955,955,1
956,956,0
957,957,1
958,958,0
959,959,0
960,960,1
961,961,2
962,962,1
963,963,1
964,964,1
965,965,1
966,966,1
967,967,2
968,968,2
969,969,1
970,970,2
971,971,0
972,972,1
973,973,2
974,974,2
975,975,2
976,976,2
977,977,0
978,978,0
979,979,2
980,980,0
981,981,1
982,982,0
983,983,1
984,984,1
985,985,0
986,986,2
987,987,2
988,988,2
989,989,0
990,990,1
991,991,0
992,992,0
993,993,1
994,994,0
995,995,1
996,996,0
997,997,0
998,998,1
999,999,0
1000,1000,1
1001,1001,2
1002,1002,0
1003,1003,2
1004,1004,0
1005,1005,0
1006,1006,1
1007,1007,0
1008,1008,0
1009,1009,1
1010,1010,0
1011,1011,0
1012,1012,2
1013,1013,0
1014,1014,1
1015,1015,1
1016,1016,0
1017,1017,1
1018,1018,0
1019,1019,1
1020,1020,2
1021,1021,1
1022,1022,2
1023,1023,1
1024,1024,0
1025,1025,2
1026,1026,2
1027,1027,0
1028,1028,1
1029,1029,0
1030,1030,0
1031,1031,2
1032,1032,2
1033,1033,0
1034,1034,1
1035,1035,0
1036,1036,1
1037,1037,0
1038,1038,0
1039,1039,0
1040,1040,1
1041,1041,0
1042,1042,1
1043,1043,2
1044,1044,2
1045,1045,0
1046,1046,0
1047,1047,1
1048,1048,0
1049,1049,0
1050,1050,1
1051,1051,0
1052,1052,1
1053,1053,1
1054,1054,0
1055,1055,1
1056,1056,2
1057,1057,0
1058,1058,0
1059,1059,0
1060,1060,1
1061,1061,1
1062,1062,0
1063,1063,0
1064,1064,0
1065,1065,0
1066,1066,1
1067,1067,1
1068,1068,0
1069,1069,0
1070,1070,0
1071,1071,2
1072,1072,1
1073,1073,1
1074,1074,0
1075,1075,1
1076,1076,1
1077,1077,2
1078,1078,1
1079,1079,0
1080,1080,0
1081,1081,2
1082,1082,1
1083,1083,1
1084,1084,1
1085,1085,1
1086,1086,2
1087,1087,0
1088,1088,1
1089,1089,2
1090,1090,0
1091,1091,0
1092,1092,2
1093,1093,0
1094,1094,1
1095,1095,2
1096,1096,0
1097,1097,1
1098,1098,1
1099,1099,2
1100,1100,1
1101,1101,0
1102,1102,1
1103,1103,0
1104,1104,0
1105,1105,2
1106,1106,0
1107,1107,0
1108,1108,2
1109,1109,2
1110,1110,1
1111,1111,0
1112,1112,2
1113,1113,2
1114,1114,0
1115,1115,0
1116,1116,2
1117,1117,0
1118,1118,2
1119,1119,1
1120,1120,1
1121,1121,1
1122,1122,2
1123,1123,1
1124,1124,2
1125,1125,1
1126,1126,0
1127,1127,2
1128,1128,0
1129,1129,1
1130,1130,0
1131,1131,1
1132,1132,1
1133,1133,2
1134,1134,0
1135,1135,2
1136,1136,2
1137,1137,1
1138,1138,0
1139,1139,0
1140,1140,1
1141,1141,1
1142,1142,0
1143,1143,0
1144,1144,0
1145,1145,2
1146,1146,0
1147,1147,0
1148,1148,0
1149,1149,1
1150,1150,0
1151,1151,1
1152,1152,1
1153,1153,0
1154,1154,1
1155,1155,2
1156,1156,1
1157,1157,1
1158,1158,0
1159,1159,1
1160,1160,0
1161,1161,0
1162,1162,0
1163,1163,2
1164,1164,2
1165,1165,2
1166,1166,1
1167,1167,2
1168,1168,2
1169,1169,2
1170,1170,2
1171,1171,1
1172,1172,2
1173,1173,2
1174,1174,1
1175,1175,2
1176,1176,1
1177,1177,2
1178,1178,2
1179,1179,0
1180,1180,1
1181,1181,2
1182,1182,2
1183,1183,0
1184,1184,2
1185,1185,1
1186,1186,2
1187,1187,0
1188,1188,1
1189,1189,2
1190,1190,2
1191,1191,0
1192,1192,1
1193,1193,0
1194,1194,2
1195,1195,0
1196,1196,2
1197,1197,0
1198,1198,1
1199,1199,2
1200,1200,0
1201,1201,2
1202,1202,2
1203,1203,2
1204,1204,2
1205,1205,2
1206,1206,0
1207,1207,0
1208,1208,1
1209,1209,1
1210,1210,1
1211,1211,2
1212,1212,1
1213,1213,2
1214,1214,0
1215,1215,1
1216,1216,2
1217,1217,0
1218,1218,1
1219,1219,2
1220,1220,1
1221,1221,1
1222,1222,2
1223,1223,2
1224,1224,1
1225,1225,2
1226,1226,0
